37188=Новый Афон, Абхазия
37178=Пицунда, Абхазия
37187=Гудаута, Абхазия
37172=Гагра, Абхазия
37189=Сухум, Абхазия
94610=Перт, Австралия
94774=Ньюкасл, Австралия
94120=Дарвин, Австралия
94866=Мельбурн, Австралия
94926=Канберра, Австралия
94287=Кэрнс, Австралия
94768=Сидней, Австралия
94578=Брисбен, Австралия
94675=Аделаида, Австралия
94326=Алис-Спрингс, Австралия
94294=Таунсвилл, Австралия
94975=Хобарт, Австралия
11204=Линц, Австрия
11190=Айзенштадт, Австрия
11110=Сан-Антон, Австрия
11111=Баден, Австрия
11144=Цель-Ам-Зе, Австрия
11143=Капрун, Австрия
11309=Лех, Австрия
11310=Ишгль, Австрия
11120=Инсбрук, Австрия
11125=Зельден, Австрия
11350=Зальцбург, Австрия
11036=Вена, Австрия
37864=Баку, Азербайджан
37895=Ханкенди (Степанакерт), Азербайджан
37735=Гянджа, Азербайджан
8512=Понта-Делгада, Азорские острова
8505=Орта, Азорские острова
8515=Вила-ду-Порту, Азорские острова
8501=Санта-Круш-даш-Флориш, Азорские острова
13615=Тирана, Албания
60369=Алжир, Алжир
60461=Оран, Алжир
78543=Шарлотта-Амалия, Американские Виргинские острова
78846=Ангилья, Ангилья
66160=Луанда, Ангола
7727=Энкамп, Андорра
7729=Аркалис, Андорра
7730=Эскальдес, Андорра
7731=Сольдеу, Андорра
7732=Пас-де-ла-Каса, Андорра
7733=Аринсал, Андорра
7734=Пал, Андорра
7735=Ордино, Андорра
7737=Андорра-ла-Велья, Андорра
89050=Беллинсгаузен, Антарктика
78862=Антигуа, Антигуа и Барбуда
87938=Ушуайя, Аргентина
87047=Сальта, Аргентина
87692=Мар-дель-Плата, Аргентина
87693=Мирамар, Аргентина
87344=Кордова, Аргентина
87765=Сан-Карлос-де-Барилоче, Аргентина
87097=Пуэрто-Игуасу, Аргентина
87582=Буэнос-Айрес, Аргентина
87903=Калафате, Аргентина
37792=Раздан, Армения
37789=Ереван, Армения
37686=Гюмри, Армения
78982=Ораньестад, Аруба
40948=Кабул, Афганистан
78073=Нассау, Багамские острова
8306=Майорка, Балеарские острова
